quantile, percentile, educ_rate, ccyy
1, 150, .00508668, fr10
2, 1321, .00307229, fr10
3, 2591, .00210549, fr10
4, 3852, .00966819, fr10
5, 4874, .00382689, fr10
6, 5828, .01173534, fr10
7, 6810, .00247276, fr10
8, 7730, .00353728, fr10
9, 8400, .00416194, fr10
10, 9042, .00402596, fr10
11, 9745, .00708402, fr10
12, 10430, .0033973, fr10
13, 10962, .00296742, fr10
14, 11460, .0049642, fr10
15, 11894, .00032899, fr10
16, 12360, .00418154, fr10
17, 12848, .00431457, fr10
18, 13240, .00298958, fr10
19, 13722, .00145424, fr10
20, 14136, .00204051, fr10
21, 14594, .0027309, fr10
22, 15000, .00296056, fr10
23, 15414, .00398744, fr10
24, 15814, .001148, fr10
25, 16296, .00097676, fr10
26, 16650, .00697146, fr10
27, 17078, .00164726, fr10
28, 17530, .00480896, fr10
29, 17939, .0023917, fr10
30, 18286, .00316042, fr10
31, 18702, .00230469, fr10
32, 19048, .00139329, fr10
33, 19451, .003644, fr10
34, 19892, .00091744, fr10
35, 20303, .00289108, fr10
36, 20678, .00528167, fr10
37, 21098, .00149602, fr10
38, 21548, .00319632, fr10
39, 21937, .00316076, fr10
40, 22379, .00299246, fr10
41, 22855, .00154702, fr10
42, 23318, .00222079, fr10
43, 23844, .00125289, fr10
44, 24269, .00146019, fr10
45, 24733, .00337328, fr10
46, 25181, .00111654, fr10
47, 25654, .00100373, fr10
48, 26086, .00281329, fr10
49, 26540, .00160211, fr10
50, 27006, .0032677, fr10
51, 27492, .00104578, fr10
52, 27996, .0076922, fr10
53, 28488, .0031932, fr10
54, 28973, .00153065, fr10
55, 29480, .00323753, fr10
56, 29985, .00238985, fr10
57, 30570, .00213572, fr10
58, 31152, .00299443, fr10
59, 31666, .00504883, fr10
60, 32260, .00135535, fr10
61, 32786, .0018396, fr10
62, 33389, .00197754, fr10
63, 34021, .00175197, fr10
64, 34651, .00124774, fr10
65, 35199, .00318293, fr10
66, 35860, .00328718, fr10
67, 36516, .00429763, fr10
68, 37200, .00385349, fr10
69, 38001, .00588592, fr10
70, 38668, .00215038, fr10
71, 39307, .00518455, fr10
72, 39969, .00308954, fr10
73, 40688, .00497157, fr10
74, 41350, .00325195, fr10
75, 41995, .00672787, fr10
76, 42753, .00567555, fr10
77, 43640, .00214958, fr10
78, 44502, .00702187, fr10
79, 45184, .00282408, fr10
80, 46055, .00138345, fr10
81, 47035, .00193961, fr10
82, 48202, .00256046, fr10
83, 49183, .00524205, fr10
84, 50416, .00426397, fr10
85, 51603, .00554342, fr10
86, 52923, .0058395, fr10
87, 54217, .00644913, fr10
88, 55682, .00415243, fr10
89, 57652, .00486359, fr10
90, 59209, .00449763, fr10
91, 61200, .00480248, fr10
92, 63961, .00525228, fr10
93, 66438, .00432821, fr10
94, 69394, .01022814, fr10
95, 73985, .01438391, fr10
96, 79173, .00923897, fr10
97, 85362, .00688845, fr10
98, 96091, .00707769, fr10
99, 114128, .00849089, fr10
100, ., .01122538, fr10
1, 14316, .07327947, il10
2, 20244, .05853768, il10
3, 24612, .01893356, il10
4, 27144, .04219213, il10
5, 28908, .00799056, il10
6, 30480, .01301848, il10
7, 33024, .01934742, il10
8, 35160, .01533985, il10
9, 37188, .02220977, il10
10, 39404, .01046365, il10
11, 41345, .00875936, il10
12, 43164, .01754248, il10
13, 45108, .01708405, il10
14, 46971, .01362341, il10
15, 49237, .01565333, il10
16, 51060, .03426021, il10
17, 53040, .01886859, il10
18, 54778, .01568514, il10
19, 56760, .00869169, il10
20, 59072, .01324487, il10
21, 61068, .01174092, il10
22, 62796, .01489362, il10
23, 65112, .02554807, il10
24, 66972, .02218269, il10
25, 68842, .02478931, il10
26, 70920, .03537065, il10
27, 72610, .04185218, il10
28, 74771, .03146813, il10
29, 76593, .01726856, il10
30, 78420, .03460461, il10
31, 80801, .03621425, il10
32, 82464, .03706554, il10
33, 84577, .02872974, il10
34, 86456, .04254532, il10
35, 88621, .03399616, il10
36, 90600, .03142176, il10
37, 92244, .03178586, il10
38, 94085, .02566257, il10
39, 97465, .03651257, il10
40, 99691, .032042, il10
41, 102477, .02863986, il10
42, 104892, .02816075, il10
43, 106767, .02971076, il10
44, 108897, .04751448, il10
45, 111132, .02283984, il10
46, 113348, .03720322, il10
47, 115997, .02785249, il10
48, 118705, .04072816, il10
49, 121104, .04126945, il10
50, 123803.5, .03276617, il10
51, 125931, .02407432, il10
52, 128409, .04563552, il10
53, 131160, .02367497, il10
54, 133959, .03614962, il10
55, 136709, .04655436, il10
56, 139265, .03672873, il10
57, 142426, .02289602, il10
58, 145178, .05093347, il10
59, 148333, .03278243, il10
60, 151604, .02575364, il10
61, 154781, .0332734, il10
62, 158270, .03606894, il10
63, 161313, .03168681, il10
64, 164416, .03954816, il10
65, 167879, .04417007, il10
66, 171128, .03269432, il10
67, 174578, .02893293, il10
68, 177957, .04425947, il10
69, 181905, .04694697, il10
70, 184582, .04490917, il10
71, 188912, .03907462, il10
72, 192070, .04947418, il10
73, 196124, .03835771, il10
74, 201268, .04118341, il10
75, 205687.5, .03359898, il10
76, 210712, .04460682, il10
77, 215443, .04281357, il10
78, 220182, .04531137, il10
79, 225171, .03794174, il10
80, 229618, .04757194, il10
81, 234770, .06090588, il10
