quantile, ccyy, threshold, hc, hceduc, hcmed
1, fr10, 150, 12923.878, 76.056962, 127.00633
2, fr10, 1321, 10928.857, 26.352201, 159.83019
3, fr10, 2591, 12369.874, 44.050955, 117.5414
4, fr10, 3852, 15367.027, 204.5, 157.21519
5, fr10, 4874, 13974.627, 65.746835, 128.93671
6, fr10, 5828, 15709.888, 240.20126, 196.86792
7, fr10, 6810, 17627.603, 44.910828, 172.38854
8, fr10, 7730, 18100.62, 68.196203, 132.6962
9, fr10, 8400, 16360.945, 80.1375, 230.29375
10, fr10, 9042, 16309.467, 74.051282, 172.86538
11, fr10, 9745, 16818.586, 163.41139, 264.03797
12, fr10, 10430, 17827.175, 55.962025, 280.58861
13, fr10, 10962, 17096.839, 55.518987, 191.39241
14, fr10, 11460, 16896.978, 85.246835, 228.51899
15, fr10, 11894, 17633.52, 17.03125, 225.55
16, fr10, 12360, 19135.59, 117.35897, 228.03205
17, fr10, 12848, 16986.052, 85.259494, 169.24051
18, fr10, 13240, 16779.437, 70.740506, 251.97468
19, fr10, 13722, 18364.545, 75.708861, 219.0443
20, fr10, 14136, 19473.433, 40.265823, 379.8481
21, fr10, 14594, 18708.504, 44.93038, 185.79114
22, fr10, 15000, 18814.914, 41.962264, 216
23, fr10, 15414, 19332.886, 103.36943, 190.47771
24, fr10, 15814, 19321.875, 30.436709, 230.3038
25, fr10, 16296, 20395.754, 25.772152, 380.25949
26, fr10, 16650, 21962.071, 116.03797, 295.28481
27, fr10, 17078, 21032.094, 54.626582, 263.41772
28, fr10, 17530, 21783.377, 73.816456, 348.16456
29, fr10, 17939, 20544.5, 56.765823, 237.48734
30, fr10, 18286, 22165.934, 73.727848, 303.68354
31, fr10, 18702, 22134.672, 47.658228, 269.10759
32, fr10, 19048, 21214.225, 91.144654, 215.1761
33, fr10, 19451, 23331.314, 179.27389, 377.28662
34, fr10, 19892, 24000.993, 26.923567, 356.20382
35, fr10, 20303, 24519.364, 74.06962, 341.61392
36, fr10, 20678, 22844.387, 133.61392, 309.20253
37, fr10, 21098, 24146.949, 46.860759, 317.94937
38, fr10, 21548, 25251.204, 85.386076, 387.62658
39, fr10, 21937, 26871.326, 72.367089, 298.91139
40, fr10, 22379, 25946.908, 75.006329, 279.86076
41, fr10, 22855, 27019.132, 45.468354, 276.5
42, fr10, 23318, 24943.362, 91.468354, 561.71519
43, fr10, 23844, 25251.604, 34.537975, 323.21519
44, fr10, 24269, 26525.324, 50.708861, 289.89241
45, fr10, 24733, 27003.951, 199.93671, 396.25316
46, fr10, 25181, 28036.557, 31.803797, 415.36076
47, fr10, 25654, 27077.993, 72.531646, 407.16456
48, fr10, 26086, 28746.204, 98.936709, 381.18354
49, fr10, 26540, 29122.993, 54.550633, 358.03165
50, fr10, 27006, 27753.585, 100.12658, 330.71519
51, fr10, 27492, 29869.879, 110.34177, 356.53797
52, fr10, 27996, 29722.345, 238.5443, 352.17722
53, fr10, 28488, 29624.705, 104.73418, 378.06329
54, fr10, 28973, 30386.293, 53.765823, 377.8481
55, fr10, 29480, 31676.604, 116.37107, 446.13208
56, fr10, 29985, 30280.897, 81.452229, 440.6051
57, fr10, 30570, 31942.841, 92.126582, 543.46203
58, fr10, 31152, 31486.646, 108.37342, 401.35443
59, fr10, 31666, 32748.784, 171.58491, 423.22013
60, fr10, 32260, 35445.542, 77.299363, 442.07643
61, fr10, 32786, 35351.568, 75.234177, 471.39873
62, fr10, 33389, 35641.313, 88.088608, 490.53165
63, fr10, 34021, 34696.638, 79.335443, 519.37975
64, fr10, 34651, 35004.417, 58.335443, 455.89873
65, fr10, 35199, 37278.424, 196.2327, 511.97484
66, fr10, 35860, 35175.37, 121.14013, 571.55414
67, fr10, 36516, 37190.351, 194.64968, 555.50318
68, fr10, 37200, 38475.639, 182.89241, 533.06962
69, fr10, 38001, 39728.205, 265.92405, 684.12025
70, fr10, 38668, 37506.697, 98.647799, 461.76101
