quantile, percentile, hc, ccyy
1, 150, 12923.878, fr10
2, 1321, 10928.857, fr10
3, 2591, 12369.874, fr10
4, 3852, 15367.027, fr10
5, 4874, 13974.627, fr10
6, 5828, 15709.888, fr10
7, 6810, 17627.603, fr10
8, 7730, 18100.62, fr10
9, 8400, 16360.945, fr10
10, 9042, 16309.467, fr10
11, 9745, 16818.586, fr10
12, 10430, 17827.175, fr10
13, 10962, 17096.839, fr10
14, 11460, 16896.978, fr10
15, 11894, 17633.52, fr10
16, 12360, 19135.59, fr10
17, 12848, 16986.052, fr10
18, 13240, 16779.437, fr10
19, 13722, 18364.545, fr10
20, 14136, 19473.433, fr10
21, 14594, 18708.504, fr10
22, 15000, 18814.914, fr10
23, 15414, 19332.886, fr10
24, 15814, 19321.875, fr10
25, 16296, 20395.754, fr10
26, 16650, 21962.071, fr10
27, 17078, 21032.094, fr10
28, 17530, 21783.377, fr10
29, 17939, 20544.5, fr10
30, 18286, 22165.934, fr10
31, 18702, 22134.672, fr10
32, 19048, 21214.225, fr10
33, 19451, 23331.314, fr10
34, 19892, 24000.993, fr10
35, 20303, 24519.364, fr10
36, 20678, 22844.387, fr10
37, 21098, 24146.949, fr10
38, 21548, 25251.204, fr10
39, 21937, 26871.326, fr10
40, 22379, 25946.908, fr10
41, 22855, 27019.132, fr10
42, 23318, 24943.362, fr10
43, 23844, 25251.604, fr10
44, 24269, 26525.324, fr10
45, 24733, 27003.951, fr10
46, 25181, 28036.557, fr10
47, 25654, 27077.993, fr10
48, 26086, 28746.204, fr10
49, 26540, 29122.993, fr10
50, 27006, 27753.585, fr10
51, 27492, 29869.879, fr10
52, 27996, 29722.345, fr10
53, 28488, 29624.705, fr10
54, 28973, 30386.293, fr10
55, 29480, 31676.604, fr10
56, 29985, 30280.897, fr10
57, 30570, 31942.841, fr10
58, 31152, 31486.646, fr10
59, 31666, 32748.784, fr10
60, 32260, 35445.542, fr10
61, 32786, 35351.568, fr10
62, 33389, 35641.313, fr10
63, 34021, 34696.638, fr10
64, 34651, 35004.417, fr10
65, 35199, 37278.424, fr10
66, 35860, 35175.37, fr10
67, 36516, 37190.351, fr10
68, 37200, 38475.639, fr10
69, 38001, 39728.205, fr10
70, 38668, 37506.697, fr10
71, 39307, 35831.69, fr10
72, 39969, 38205.622, fr10
73, 40688, 39064.442, fr10
74, 41350, 41100.925, fr10
75, 41995, 40990.708, fr10
76, 42753, 40059.967, fr10
77, 43640, 40475.895, fr10
78, 44502, 42377.803, fr10
79, 45184, 43469.338, fr10
80, 46055, 43589.801, fr10
81, 47035, 42350.026, fr10
82, 48202, 43290.058, fr10
83, 49183, 45033.163, fr10
84, 50416, 47237.548, fr10
85, 51603, 49475.517, fr10
86, 52923, 47881.306, fr10
87, 54217, 47801.178, fr10
88, 55682, 48867.487, fr10
89, 57652, 53725.128, fr10
90, 59209, 52156.167, fr10
91, 61200, 52050.124, fr10
92, 63961, 52847.565, fr10
93, 66438, 58715.422, fr10
94, 69394, 54813.168, fr10
95, 73985, 57730.154, fr10
96, 79173, 62131.123, fr10
97, 85362, 63087.548, fr10
98, 96091, 71148.057, fr10
99, 114128, 74631.401, fr10
100, ., 85575.801, fr10
1, 14316, 77108.889, il10
2, 20244, 76407.051, il10
3, 24612, 69387.148, il10
4, 27144, 63989.4, il10
5, 28908, 52939.6, il10
6, 30480, 55565, il10
7, 33024, 61105.22, il10
8, 35160, 77794.373, il10
9, 37188, 69820.525, il10
10, 39404, 68701, il10
11, 41345, 67084.131, il10
12, 43164, 79631.186, il10
13, 45108, 83780.4, il10
14, 46971, 84412.328, il10
15, 49237, 84980.262, il10
16, 51060, 85188.407, il10
17, 53040, 91469, il10
18, 54778, 79873.355, il10
