quantile, percentile, hceduc, ccyy
1, 150, 76.056962, fr10
2, 1321, 26.352201, fr10
3, 2591, 44.050955, fr10
4, 3852, 204.5, fr10
5, 4874, 65.746835, fr10
6, 5828, 240.20126, fr10
7, 6810, 44.910828, fr10
8, 7730, 68.196203, fr10
9, 8400, 80.1375, fr10
10, 9042, 74.051282, fr10
11, 9745, 163.41139, fr10
12, 10430, 55.962025, fr10
13, 10962, 55.518987, fr10
14, 11460, 85.246835, fr10
15, 11894, 17.03125, fr10
16, 12360, 117.35897, fr10
17, 12848, 85.259494, fr10
18, 13240, 70.740506, fr10
19, 13722, 75.708861, fr10
20, 14136, 40.265823, fr10
21, 14594, 44.93038, fr10
22, 15000, 41.962264, fr10
23, 15414, 103.36943, fr10
24, 15814, 30.436709, fr10
25, 16296, 25.772152, fr10
26, 16650, 116.03797, fr10
27, 17078, 54.626582, fr10
28, 17530, 73.816456, fr10
29, 17939, 56.765823, fr10
30, 18286, 73.727848, fr10
31, 18702, 47.658228, fr10
32, 19048, 91.144654, fr10
33, 19451, 179.27389, fr10
34, 19892, 26.923567, fr10
35, 20303, 74.06962, fr10
36, 20678, 133.61392, fr10
37, 21098, 46.860759, fr10
38, 21548, 85.386076, fr10
39, 21937, 72.367089, fr10
40, 22379, 75.006329, fr10
41, 22855, 45.468354, fr10
42, 23318, 91.468354, fr10
43, 23844, 34.537975, fr10
44, 24269, 50.708861, fr10
45, 24733, 199.93671, fr10
46, 25181, 31.803797, fr10
47, 25654, 72.531646, fr10
48, 26086, 98.936709, fr10
49, 26540, 54.550633, fr10
50, 27006, 100.12658, fr10
51, 27492, 110.34177, fr10
52, 27996, 238.5443, fr10
53, 28488, 104.73418, fr10
54, 28973, 53.765823, fr10
55, 29480, 116.37107, fr10
56, 29985, 81.452229, fr10
57, 30570, 92.126582, fr10
58, 31152, 108.37342, fr10
59, 31666, 171.58491, fr10
60, 32260, 77.299363, fr10
61, 32786, 75.234177, fr10
62, 33389, 88.088608, fr10
63, 34021, 79.335443, fr10
64, 34651, 58.335443, fr10
65, 35199, 196.2327, fr10
66, 35860, 121.14013, fr10
67, 36516, 194.64968, fr10
68, 37200, 182.89241, fr10
69, 38001, 265.92405, fr10
70, 38668, 98.647799, fr10
71, 39307, 220.11465, fr10
72, 39969, 154.3038, fr10
73, 40688, 192.1962, fr10
74, 41350, 171.03797, fr10
75, 41995, 452.12025, fr10
76, 42753, 274.22152, fr10
77, 43640, 92.563291, fr10
78, 44502, 391.36076, fr10
79, 45184, 112.96203, fr10
80, 46055, 80.240506, fr10
81, 47035, 91.320755, fr10
82, 48202, 114.02548, fr10
83, 49183, 196.40506, fr10
84, 50416, 249.94304, fr10
85, 51603, 311.74214, fr10
86, 52923, 346.79874, fr10
87, 54217, 435.53205, fr10
88, 55682, 196.1519, fr10
89, 57652, 278.46203, fr10
90, 59209, 272.53165, fr10
91, 61200, 270.86076, fr10
92, 63961, 238.28931, fr10
93, 66438, 228.8535, fr10
94, 69394, 825.68987, fr10
95, 73985, 927.27215, fr10
96, 79173, 797.86076, fr10
97, 85362, 510.1962, fr10
98, 96091, 536.51899, fr10
99, 114128, 668.29114, fr10
100, ., 1178.9363, fr10
1, 14316, 4299.0968, il10
2, 20244, 3247.7419, il10
3, 24612, 1390.2581, il10
4, 27144, 3675.541, il10
5, 28908, 656.7619, il10
6, 30480, 1218.5806, il10
7, 33024, 1267.8, il10
8, 35160, 1702.4516, il10
9, 37188, 1917.2903, il10
10, 39404, 843.54098, il10
11, 41345, 923.03226, il10
12, 43164, 1842.5806, il10
13, 45108, 1520.2623, il10
14, 46971, 1263.2903, il10
15, 49237, 1678.8387, il10
16, 51060, 3613.9672, il10
17, 53040, 1684.4516, il10
18, 54778, 1914, il10
19, 56760, 669.83607, il10
20, 59072, 2018.3226, il10
21, 61068, 1018.2581, il10
22, 62796, 2108.0656, il10
23, 65112, 3319.3548, il10
24, 66972, 2218.6452, il10
25, 68842, 3311.0164, il10
26, 70920, 3993.0968, il10
27, 72610, 4867.1613, il10
28, 74771, 4671.871, il10
29, 76593, 2015.6066, il10
30, 78420, 4614.7742, il10
31, 80801, 5879.2258, il10
32, 82464, 4822.623, il10
33, 84577, 4332.9677, il10
34, 86456, 6076.4516, il10
35, 88621, 3837.4426, il10
36, 90600, 4556.5161, il10
37, 92244, 4876.0645, il10
38, 94085, 3663.1475, il10
39, 97465, 4128.3871, il10
40, 99691, 5013.871, il10
41, 102477, 3627.3443, il10
42, 104892, 3252.7742, il10
43, 106767, 4193.6129, il10
44, 108897, 6721.1803, il10
45, 111132, 3264.7742, il10
46, 113348, 5638.8387, il10
47, 115997, 3848.8525, il10
48, 118705, 5358.7742, il10
