quantile, ccyy, threshold, hc, hnceduc, hceduc, hmceduc, hcmed, hcbgiftg, hncbgiftg
1, fr10, 150, 12923.878, 0, 76.056962, 76.056962, 127.00633, 0, 0
2, fr10, 1321, 10928.857, 0, 26.352201, 26.352201, 159.83019, 0, 0
3, fr10, 2591, 12369.874, 0, 44.050955, 44.050955, 117.5414, 0, 0
4, fr10, 3852, 15367.027, 0, 204.5, 204.5, 157.21519, 0, 0
5, fr10, 4874, 13974.627, 3.7974684, 65.746835, 61.949367, 128.93671, 5.6962025, 5.6962025
6, fr10, 5828, 15709.888, 0, 240.20126, 240.20126, 196.86792, 7.5471698, 7.5471698
7, fr10, 6810, 17627.603, 9.5541401, 44.910828, 35.356688, 172.38854, 3.8216561, 3.8216561
8, fr10, 7730, 18100.62, 0, 68.196203, 68.196203, 132.6962, 1.8987342, 1.8987342
9, fr10, 8400, 16360.945, 0, 80.1375, 80.1375, 230.29375, 0, 0
10, fr10, 9042, 16309.467, 0, 74.051282, 74.051282, 172.86538, 0, 0
11, fr10, 9745, 16818.586, 1.8987342, 163.41139, 161.51266, 264.03797, 9.4936709, 9.4936709
12, fr10, 10430, 17827.175, 5.6962025, 55.962025, 50.265823, 280.58861, 1.8987342, 1.8987342
13, fr10, 10962, 17096.839, 5.6962025, 55.518987, 49.822785, 191.39241, 0, 0
14, fr10, 11460, 16896.978, 0, 85.246835, 85.246835, 228.51899, 9.4936709, 9.4936709
15, fr10, 11894, 17633.52, 0, 17.03125, 17.03125, 225.55, 0, 0
16, fr10, 12360, 19135.59, 0, 117.35897, 117.35897, 228.03205, 11.538462, 11.538462
17, fr10, 12848, 16986.052, 13.291139, 85.259494, 71.968354, 169.24051, 5.6962025, 5.6962025
18, fr10, 13240, 16779.437, 0, 70.740506, 70.740506, 251.97468, 11.392405, 11.392405
19, fr10, 13722, 18364.545, 1.8987342, 75.708861, 73.810127, 219.0443, 0, 0
20, fr10, 14136, 19473.433, 0, 40.265823, 40.265823, 379.8481, 0, 0
21, fr10, 14594, 18708.504, 0, 44.93038, 44.93038, 185.79114, 0, 0
22, fr10, 15000, 18814.914, 11.320755, 41.962264, 30.641509, 216, 0, 0
23, fr10, 15414, 19332.886, 5.7324841, 103.36943, 97.636943, 190.47771, 0, 0
24, fr10, 15814, 19321.875, 0, 30.436709, 30.436709, 230.3038, 1.8987342, 1.8987342
25, fr10, 16296, 20395.754, 5.6962025, 25.772152, 20.075949, 380.25949, 37.974684, 37.974684
26, fr10, 16650, 21962.071, 26.582278, 116.03797, 89.455696, 295.28481, 0, 0
27, fr10, 17078, 21032.094, 0, 54.626582, 54.626582, 263.41772, 0, 0
28, fr10, 17530, 21783.377, 5.6962025, 73.816456, 68.120253, 348.16456, 0, 0
29, fr10, 17939, 20544.5, 1.8987342, 56.765823, 54.867089, 237.48734, 0, 0
30, fr10, 18286, 22165.934, 37.974684, 73.727848, 35.753165, 303.68354, 0, 0
31, fr10, 18702, 22134.672, 1.8987342, 47.658228, 45.759494, 269.10759, 0, 0
32, fr10, 19048, 21214.225, 0, 91.144654, 91.144654, 215.1761, 0, 0
33, fr10, 19451, 23331.314, 0, 179.27389, 179.27389, 377.28662, 0, 0
