quantile,ccyy,cname,year,threshold,hc,hmc,hmchousa,hnchousi,hcmed,hmcmed,hncmed,hceduc,hmceduc,hnceduc,hncbgifte,hncbgiftg,hncbgifto,hchousa,hchousi
1,au10,Australia,2010,2274,58231,43969,3998,14261,1819,1819,.,1924,1924,.,.,.,.,3998,14261
2,au10,Australia,2010,9858,47917,34753,2796,13165,1088,1088,.,185,185,.,.,.,.,2796,13165
3,au10,Australia,2010,13143,35813,24083,3652,11731,1182,1182,.,135,135,.,.,.,.,3652,11731
4,au10,Australia,2010,15163,37275,27109,4126,10165,2684,2684,.,229,229,.,.,.,.,4126,10165
5,au10,Australia,2010,16115,27338,14311,1410,13028,1258,1258,.,16,16,.,.,.,.,1410,13028
6,au10,Australia,2010,16898,30001,19125,2373,10876,1147,1147,.,281,281,.,.,.,.,2373,10876
7,au10,Australia,2010,17315,28077,15542,737,12535,842,842,.,100,100,.,.,.,.,737,12535
8,au10,Australia,2010,17367,27764,16732,2164,11032,997,997,.,60,60,.,.,.,.,2164,11032
9,au10,Australia,2010,17842,37772,24641,1176,13131,1443,1443,.,0,0,.,.,.,.,1176,13131
10,au10,Australia,2010,18045,28065,17175,2477,10890,961,961,.,119,119,.,.,.,.,2477,10890
11,au10,Australia,2010,18149,37585,25259,3154,12326,1346,1346,.,2107,2107,.,.,.,.,3154,12326
12,au10,Australia,2010,18563,34357,23039,3306,11318,715,715,.,34,34,.,.,.,.,3306,11318
13,au10,Australia,2010,19135,37341,27411,3918,9930,830,830,.,250,250,.,.,.,.,3918,9930
14,au10,Australia,2010,19782,42946,31900,3949,11046,1179,1179,.,186,186,.,.,.,.,3949,11046
15,au10,Australia,2010,20447,38750,28889,3613,9861,2555,2555,.,1090,1090,.,.,.,.,3613,9861
16,au10,Australia,2010,21225,39552,27885,2702,11667,1100,1100,.,184,184,.,.,.,.,2702,11667
17,au10,Australia,2010,22164,45556,33170,2282,12386,1565,1565,.,334,334,.,.,.,.,2282,12386
18,au10,Australia,2010,23182,38812,26665,2174,12147,1511,1511,.,31,31,.,.,.,.,2174,12147
19,au10,Australia,2010,24041,40543,28235,3026,12308,1414,1414,.,536,536,.,.,.,.,3026,12308
20,au10,Australia,2010,24874,41012,29792,3824,11221,1167,1167,.,50,50,.,.,.,.,3824,11221
21,au10,Australia,2010,25943,42171,29070,2406,13101,1422,1422,.,85,85,.,.,.,.,2406,13101
22,au10,Australia,2010,26249,44432,32621,2917,11811,1371,1371,.,236,236,.,.,.,.,2917,11811
23,au10,Australia,2010,26791,42664,30328,3091,12336,1557,1557,.,686,686,.,.,.,.,3091,12336
24,au10,Australia,2010,27156,43303,32751,3973,10553,1090,1090,.,344,344,.,.,.,.,3973,10553
25,au10,Australia,2010,27739.5,46338,33914,3175,12424,1143,1143,.,814,814,.,.,.,.,3175,12424
26,au10,Australia,2010,28376,46620,35764,4116,10856,1010,1010,.,597,597,.,.,.,.,4116,10856
27,au10,Australia,2010,28915,43923,32800,4242,11123,1437,1437,.,151,151,.,.,.,.,4242,11123
28,au10,Australia,2010,29487,45111,36757,6140,8354,892,892,.,601,601,.,.,.,.,6140,8354
29,au10,Australia,2010,30180,47115,35193,3783,11922,1417,1417,.,115,115,.,.,.,.,3783,11922
30,au10,Australia,2010,30900,46832,35810,5362,11022,960,960,.,2428,2428,.,.,.,.,5362,11022
31,au10,Australia,2010,31493,51639,40624,4435,11015,1762,1762,.,1536,1536,.,.,.,.,4435,11015
32,au10,Australia,2010,32161,44400,33660,3967,10740,1138,1138,.,1203,1203,.,.,.,.,3967,10740
33,au10,Australia,2010,32839,47853,36552,4066,11302,1309,1309,.,1087,1087,.,.,.,.,4066,11302
34,au10,Australia,2010,33665,52007,40196,4473,11811,1837,1837,.,1319,1319,.,.,.,.,4473,11811
35,au10,Australia,2010,34575,56324,42270,2899,14054,979,979,.,898,898,.,.,.,.,2899,14054
36,au10,Australia,2010,35234,46865,36732,5209,10133,1057,1057,.,304,304,.,.,.,.,5209,10133
37,au10,Australia,2010,36071,47680,37664,5846,10016,1246,1246,.,552,552,.,.,.,.,5846,10016
38,au10,Australia,2010,36903,58991,48001,5141,10990,3669,3669,.,304,304,.,.,.,.,5141,10990
39,au10,Australia,2010,37798,52786,42831,5863,9956,1248,1248,.,252,252,.,.,.,.,5863,9956
40,au10,Australia,2010,38715,56325,43848,5805,12477,1294,1294,.,1180,1180,.,.,.,.,5805,12477
41,au10,Australia,2010,39543,53224,41520,5541,11704,1160,1160,.,247,247,.,.,.,.,5541,11704
42,au10,Australia,2010,40355,58431,48554,6354,9877,950,950,.,3224,3224,.,.,.,.,6354,9877
43,au10,Australia,2010,41223,63017,48618,4049,14399,1482,1482,.,2792,2792,.,.,.,.,4049,14399
44,au10,Australia,2010,42120,52032,40617,4610,11415,1460,1460,.,1365,1365,.,.,.,.,4610,11415
45,au10,Australia,2010,43111,54986,44845,5686,10140,1403,1403,.,1213,1213,.,.,.,.,5686,10140
46,au10,Australia,2010,44267,56123,46067,6736,10056,1348,1348,.,1553,1553,.,.,.,.,6736,10056
47,au10,Australia,2010,45341,65416,55969,5185,9447,11698,11698,.,1206,1206,.,.,.,.,5185,9447
48,au10,Australia,2010,46204,64061,52674,4962,11386,2299,2299,.,806,806,.,.,.,.,4962,11386
49,au10,Australia,2010,47306,64703,53164,4936,11540,1360,1360,.,1078,1078,.,.,.,.,4936,11540
50,au10,Australia,2010,48375,61832,48646,3441,13187,1738,1738,.,658,658,.,.,.,.,3441,13187
51,au10,Australia,2010,49492,59139,48800,5509,10339,1389,1389,.,538,538,.,.,.,.,5509,10339
52,au10,Australia,2010,50671,57100,47986,7348,9114,1408,1408,.,1414,1414,.,.,.,.,7348,9114
53,au10,Australia,2010,51878,60968,50598,6375,10370,1915,1915,.,1536,1536,.,.,.,.,6375,10370
54,au10,Australia,2010,53256,62255,52698,6939,9557,1829,1829,.,803,803,.,.,.,.,6939,9557
55,au10,Australia,2010,54481,66547,52695,2954,13851,1617,1617,.,1524,1524,.,.,.,.,2954,13851
56,au10,Australia,2010,55903,69651,56162,3925,13489,2035,2035,.,966,966,.,.,.,.,3925,13489
57,au10,Australia,2010,57236,69773,57410,5357,12363,1279,1279,.,1606,1606,.,.,.,.,5357,12363
58,au10,Australia,2010,58691,73556,60207,3823,13349,1968,1968,.,1939,1939,.,.,.,.,3823,13349
59,au10,Australia,2010,60222,69103,56045,4771,13058,2969,2969,.,738,738,.,.,.,.,4771,13058
60,au10,Australia,2010,61612,64620,50467,4041,14152,1451,1451,.,635,635,.,.,.,.,4041,14152
61,au10,Australia,2010,63087,71203,57331,3924,13871,2123,2123,.,1429,1429,.,.,.,.,3924,13871
62,au10,Australia,2010,64366,71490,58867,5505,12623,2395,2395,.,2987,2987,.,.,.,.,5505,12623
63,au10,Australia,2010,65705,79630,65564,5681,14066,1583,1583,.,2107,2107,.,.,.,.,5681,14066
64,au10,Australia,2010,67141,71826,59912,5872,11914,2442,2442,.,806,806,.,.,.,.,5872,11914
65,au10,Australia,2010,68861,69898,57548,4395,12350,2492,2492,.,1101,1101,.,.,.,.,4395,12350
66,au10,Australia,2010,70227,78807,63253,3446,15554,1643,1643,.,1378,1378,.,.,.,.,3446,15554
67,au10,Australia,2010,71976,77324,64456,6282,12868,2437,2437,.,1883,1883,.,.,.,.,6282,12868
68,au10,Australia,2010,73653,67218,53056,4245,14163,1384,1384,.,2449,2449,.,.,.,.,4245,14163
