Name;Code;year2004;year2005;year2006;year2007;year2008;year2009;year2010;year2011;year2012;year2013
Australia;AUS;0.4202441;0.420329424;0.420414765;0.420500124;0.4205855;0.41880105;0.4170166;0.4152583;0.4135;0.42375
Austria;AUT;0.41;0.41;0.42;0.42;0.43;0.44;0.43;0.43;0.43;0.43
Canada;CAN;0.41;0.41;0.41;0.41;0.40;0.42;0.42;0.41;0.41;0.41
Czech Republic;CZE;0.41;0.41;0.40;0.39;0.38;0.38;0.39;0.39;0.39;0.39
Germany;DEU;0.42;0.413736593;0.411748187;0.409769339;0.41;0.41;0.40;0.42;0.41;0.42
Denmark;DNK;0.38;0.38;0.37;0.37;0.36;0.37;0.39;0.39;0.40;0.40
Spain;ESP;0.39;0.40;0.39;0.40;0.41;0.44;0.46;0.46;0.47;0.48
Estonia;EST;0.44;0.42;0.42;0.38;0.39;0.42;0.43;0.43;0.43;0.45
Finland;FIN;0.42;0.42;0.43;0.42;0.41;0.42;0.42;0.42;0.42;0.42
France;FRA;0.43;0.43;0.432204108;0.432538874;0.43;0.44;0.45;0.46;0.46;0.45
United Kingdom;GBR;0.45;0.46;0.45;0.47;0.47;0.48;0.47;0.48;0.47;0.47
Greece;GRC;0.41;0.42;0.45;0.45;0.45;0.46;0.47;0.50;0.51;0.51
Ireland;IRL;0.45;0.46;0.46;0.47;0.49;0.53;0.54;0.53;0.54;0.53
Iceland;ISL;0.33;0.33;0.34;0.34;0.35;0.35;0.36;0.36;0.35;0.34
Israel;ISR;0.50;0.50;0.487928423;0.479777327;0.47;0.47;0.48;0.46;0.46;0.42
Italy;ITA;0.40;0.40;0.43;0.42;0.42;0.43;0.44;0.44;0.45;0.44
Luxembourg;LUX;0.41;0.41;0.41;0.40;0.44;0.43;0.42;0.43;0.46;0.43
Netherlands;NLD;;0.39;0.39;0.39;0.38;0.38;0.38;0.39;0.39;0.40
Norway;NOR;0.40;0.388576984;0.381129495;0.373824746;0.37;0.37;0.38;0.38;0.38;0.38
Slovak Republic;SVK;0.41;0.40;0.37;0.36;0.36;0.38;0.38;0.36;0.36;0.37
Sweden;SWE;0.37;0.366414558;0.36628636;0.366158208;0.37;0.38;0.38;0.37;0.37;0.38
United States;USA;0.46;0.46;0.458055631;0.458183498;0.46;0.47;0.47;0.48;0.48;0.48
